id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total
458088,2022,"-2.360.307.643.989.150,00","-4.673.442.117.849.060,00",5,kilometer,393,"R$ 3.852,89",23,30,28,23,
463615,2022,"-236.097.186.847.153,00","-4.675.453.383.138.060,00",5,kilometer,149,"R$ 3.852,48",,6,3,10,
463885,2022,"-23.605.658.194.367.500,00","-46.776.385.357.052.000,00",5,kilometer,421,"R$ 3.846,89",14,25,25,26,
458070,2022,"-23.598.546.879.849.500,00","-46.738.314.539.366.100,00",5,kilometer,295,"R$ 3.812,81",14,15,13,12,
458189,2022,"-2.360.010.038.946.470,00","-4.675.272.620.270.340,00",5,kilometer,471,"R$ 3.801,13",14,30,23,26,
450745,2022,"-23.578.082.911.251.200,00","-4.674.993.830.864.730,00",5,kilometer,201,"R$ 3.800,19",8,12,12,9,
458163,2022,"-23.602.935.967.127.300,00","-4.673.691.276.389.110,00",5,kilometer,322,"R$ 3.789,25",11,13,13,20,
434085,2022,"-23.651.130.692.042.000,00","-4.675.352.418.706.690,00",5,kilometer,514,"R$ 3.777,75",32,22,18,21,
432630,2022,"-23.621.026.681.965.700,00","-46.755.652.191.330.700,00",5,kilometer,614,"R$ 3.774,11",24,29,34,32,
458186,2022,"-23.603.311.697.550.400,00","-4.674.894.717.234.370,00",5,kilometer,288,"R$ 3.771,53",10,8,10,11,
430869,2022,"-235.798.986.819.639,00","-4.674.561.675.435.730,00",5,kilometer,658,"R$ 3.767,51",34,27,23,38,
463700,2022,"-23.601.115.005.601.600,00","-46.757.009.224.178.600,00",5,kilometer,579,"R$ 3.766,49",27,39,36,37,
458073,2022,"-23.603.589.387.189.000,00","-4.673.809.322.375.130,00",5,kilometer,334,"R$ 3.765,06",15,15,18,13,
434086,2022,"-2.365.082.157.489.130,00","-46.754.205.290.151.700,00",5,kilometer,229,"R$ 3.753,71",14,8,7,10,
450286,2022,"-23.592.308.099.826.500,00","-4.676.932.048.891.410,00",5,kilometer,576,"R$ 3.744,33",25,27,28,27,
458086,2022,"-23.598.123.999.845.700,00","-46.734.608.322.628.500,00",5,kilometer,383,"R$ 3.737,56",19,23,20,15,
458094,2022,"-2.359.493.743.962.710,00","-4.675.082.471.722.300,00",5,kilometer,315,"R$ 3.735,50",13,14,16,18,
432918,2022,"-236.436.826.170.503,00","-4.676.282.107.648.580,00",5,kilometer,345,"R$ 3.731,34",13,20,24,25,
463698,2022,"-2.359.908.557.994.220,00","-46.760.247.451.624.600,00",5,kilometer,396,"R$ 3.726,44",17,14,25,28,
445453,2022,"-23.650.239.252.187.200,00","-4.675.018.932.790.670,00",5,kilometer,689,"R$ 3.718,79",26,19,47,42,
458097,2022,"-23.592.641.196.904.200,00","-46.732.363.426.204.100,00",5,kilometer,119,"R$ 3.715,74",5,5,7,7,
