id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total
431945,2022,-23.627.147.988.156.700,-46.669.951.981.774.300,5,kilometer,401,"16023,46",12,19,22,37,90
431946,2022,-2.362.589.773.692.470,-4.667.085.247.607.130,5,kilometer,319,"12802,29",16,9,8,15,48
431948,2022,-23.636.889.267.363.800,-4.667.003.431.290.470,5,kilometer,163,"6769,06",4,7,8,10,29
431949,2022,-2.363.450.416.080.380,-4.667.278.828.348.820,5,kilometer,337,"8164,57",8,22,7,18,55
431950,2022,-23.624.118.137.734.800,-4.667.018.707.001.580,5,kilometer,243,"8311,76",5,9,8,8,30
431951,2022,-23.622.576.542.802.400,-46.669.236.397.278.100,5,kilometer,240,"7880,82",3,10,6,10,29
431956,2022,-23.636.556.532.678.000,-4.667.569.617.140.210,5,kilometer,434,"11463,29",7,18,26,19,70
431957,2022,-236.230.914.362.829,-4.667.146.008.156.350,5,kilometer,192,"12618,42",12,6,6,4,28
431960,2022,-2.364.125.065.717.040,-4.666.712.715.054.360,5,kilometer,287,"4756,37",8,8,11,8,35
431961,2022,-23.625.248.475.152.900,-46.683.371.260.768.400,5,kilometer,336,"10710,51",11,12,9,8,40
431962,2022,-2.362.478.376.400.200,-46.684.164.809.338.400,5,kilometer,310,"12565,41",9,11,22,19,61
431963,2022,-2.362.344.163.683.770,-4.668.330.431.828.010,5,kilometer,189,"9203,07",8,4,3,3,18
431964,2022,-2.362.429.544.464.310,-4.668.436.248.781.930,5,kilometer,238,"11352,51",10,16,10,7,43
431965,2022,-23.624.619.103.454.900,-4.668.564.421.550.370,5,kilometer,513,"19282,9",32,35,32,39,138
431966,2022,-23.619.329.453.229.800,-46.676.188.402.985.000,5,kilometer,252,"10266,21",7,9,7,7,30
431968,2022,-2.361.694.904.617.800,-4.667.394.605.217.290,5,kilometer,228,"15650,5",,5,,,5
431969,2022,-23.618.145.035.023.200,-4.667.506.713.198.370,5,kilometer,204,"17773,15",9,10,6,8,33
431970,2022,-23.616.592.330.713.700,-46.680.045.117.862.000,5,kilometer,168,"9282,49",,,3,,3
431971,2022,-23.632.865.388.613.700,-4.667.079.426.740.710,5,kilometer,330,"1899,29",16,20,22,28,86
431974,2022,-2.363.196.835.691.810,-46.671.537.807.483.000,5,kilometer,170,"1889,58",8,14,7,18,47
431975,2022,-23.625.207.349.535.100,-4.667.713.775.033.090,5,kilometer,107,"1844,16",,5,6,5,16
431976,2022,-2.362.438.431.703.780,-4.667.662.108.016.990,5,kilometer,141,"1598,61",9,10,6,8,33
431977,2022,-2.363.090.955.264.790,-4.667.322.582.006.550,5,kilometer,229,"1987,64",24,19,16,12,71
431978,2022,-23.627.098.081.123.400,-4.667.300.026.986.920,5,kilometer,234,"12946,9",11,6,7,7,31
431979,2022,-23.627.970.568.046.600,-46.672.297.836.755.600,5,kilometer,214,"11660,79",4,4,3,8,19
431980,2022,-2.362.597.531.901.780,-46.672.915.744.295.600,5,kilometer,207,"10489,69",6,11,4,9,30
431981,2022,-23.627.179.475.272.400,-4.667.156.302.511.390,5,kilometer,278,"13579,82",6,8,8,9,31
431982,2022,-23.625.824.519.750.600,-46.668.217.173.049.600,5,kilometer,339,"10515,49",20,7,12,12,51
431984,2022,-2.362.296.305.288.560,-46.675.108.798.779.700,5,kilometer,457,"25657,31",30,39,42,30,141
431985,2022,-23.623.837.197.986.900,-4.667.343.121.747.610,5,kilometer,382,"18504,49",14,13,13,11,51
431986,2022,-23.619.959.263.036.000,-4.667.716.577.759.640,5,kilometer,150,"12307,32",0,0,0,0,0
431988,2022,-23.621.568.498.560.900,-46.675.471.047.152.200,5,kilometer,235,"12832,55",8,16,5,7,36
431989,2022,-2.362.140.719.709.610,-4.667.485.966.746.440,5,kilometer,186,"12485,55",9,10,4,6,29
431990,2022,-2.362.018.571.961.740,-46.678.569.212.410.500,5,kilometer,359,"20178,96",20,20,21,22,83
431991,2022,-2.361.940.297.051.860,-4.667.783.075.501.120,5,kilometer,261,"16308,92",10,10,14,6,40
431992,2022,-23.628.915.828.109.600,-4.666.851.387.008.990,5,kilometer,302,"21257,48",34,26,26,12,98
431993,2022,-23.629.182.793.919.200,-4.666.810.634.347.500,5,kilometer,281,"21310,53",30,17,17,9,73
431994,2022,-23.629.515.289.110.000,-46.668.581.393.852.000,5,kilometer,274,"18410,37",25,27,26,9,87
431995,2022,-23.631.798.111.130.500,-46.668.341.497.542.800,5,kilometer,248,"6848,65",15,11,4,10,40
431996,2022,-23.631.291.281.275.500,-4.666.848.335.845.610,5,kilometer,269,"14179,52",4,4,0,3,11
431998,2022,-23.635.097.873.695.600,-4.666.612.459.932.970,5,kilometer,263,"8202,76",14,13,13,8,48
432001,2022,-23.626.627.954.548.700,-4.667.635.407.179.740,5,kilometer,501,"3174,49",25,25,21,31,102
432002,2022,-2.362.528.101.212.820,-4.667.576.395.199.700,5,kilometer,639,"22711,14",37,64,76,32,209
432003,2022,-23.625.329.671.151.000,-4.667.434.190.589.560,5,kilometer,519,"30378,11",18,27,28,52,125
432004,2022,-2.362.605.125.968.280,-46.675.199.344.567.200,5,kilometer,214,"17057,15",10,11,4,8,33
432005,2022,-2.362.620.679.257.790,-46.674.804.298.596.400,5,kilometer,184,"18698,66",12,4,,,16
432006,2022,-2.362.443.492.666.000,-4.667.500.044.342.460,5,kilometer,402,"20921,58",16,35,45,33,129
432008,2022,-23.623.754.547.113.000,-4.667.573.074.483.380,5,kilometer,316,"28515,17",16,19,30,18,83
432009,2022,-23.623.816.727.275.300,-4.667.634.650.617.680,5,kilometer,180,"16693,21",4,10,5,,19
432010,2022,-2.362.657.747.679.090,-4.667.402.496.201.850,5,kilometer,324,"27878,87",27,27,10,12,76
432011,2022,-23.628.539.928.044.800,-4.666.667.628.332.050,5,kilometer,251,"7537,85",10,7,8,7,32
432012,2022,-2.362.360.102.256.150,-4.667.615.307.456.960,5,kilometer,148,"16298,92",5,4,4,,13
