id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,unidade
455445,2022,-23.6212904328713,-46.7463389397957,5,kilometer,407.0,"3688,25",23.0,27.0,22.0,27.0,99.0,chacara
455446,2022,-23.6195920222833,-46.7477079445891,5,kilometer,388.0,"2819,02",23.0,23.0,28.0,28.0,102.0,chacara
455447,2022,-23.6284739858743,-46.7410619940957,5,kilometer,383.0,"13747,47",21.0,28.0,36.0,20.0,105.0,chacara
455448,2022,-23.6293117742911,-46.74081821722,5,kilometer,241.0,"11844,56",7.0,13.0,8.0,14.0,42.0,chacara
455449,2022,-23.6260250814183,-46.73274975681969,5,kilometer,466.0,"18525,36",24.0,24.0,23.0,28.0,99.0,chacara
455450,2022,-23.6285095417329,-46.7317511110032,5,kilometer,353.0,"11290,63",13.0,17.0,18.0,14.0,62.0,chacara
455451,2022,-23.6227850195865,-46.7293171267758,5,kilometer,509.0,"9516,45",27.0,34.0,25.0,25.0,111.0,chacara
455452,2022,-23.6223286404237,-46.7301525042673,5,kilometer,312.0,"7767,16",27.0,11.0,20.0,13.0,71.0,chacara
455453,2022,-23.6266877161267,-46.7342920598985,5,kilometer,450.0,"19676,8",18.0,18.0,36.0,13.0,85.0,chacara
455454,2022,-23.6283843648231,-46.7342736072342,5,kilometer,560.0,"14389,26",6.0,19.0,10.0,17.0,52.0,chacara
455455,2022,-23.6315476884213,-46.7333773856325,5,kilometer,579.0,"18843,26",16.0,20.0,37.0,39.0,112.0,chacara
455456,2022,-23.63302637254,-46.7328762989617,5,kilometer,640.0,"18533,34",19.0,29.0,58.0,56.0,162.0,chacara
455457,2022,-23.632943400546,-46.7344563953025,5,kilometer,321.0,"32376,41",11.0,18.0,30.0,36.0,95.0,chacara
455458,2022,-23.6314292701093,-46.7340928364142,5,kilometer,344.0,"19341,99",18.0,16.0,41.0,27.0,102.0,chacara
455459,2022,-23.6396992853123,-46.74296656040711,5,kilometer,426.0,"3576,25",13.0,14.0,19.0,20.0,66.0,chacara
455460,2022,-23.6281851404447,-46.74339367183671,5,kilometer,612.0,"16945,65",44.0,65.0,59.0,25.0,193.0,chacara
455461,2022,-23.6267357851288,-46.7431389177701,5,kilometer,531.0,"12562,25",37.0,25.0,19.0,12.0,93.0,chacara
455462,2022,-23.6228711268647,-46.7395212288377,5,kilometer,538.0,"20218,61",46.0,50.0,41.0,22.0,159.0,chacara
455463,2022,-23.6248821904826,-46.7405088687926,5,kilometer,630.0,"16775,44",49.0,43.0,40.0,29.0,161.0,chacara
455464,2022,-23.6237856940264,-46.7393140529135,5,kilometer,152.0,"18058,93",5.0,6.0,5.0,13.0,29.0,chacara
455465,2022,-23.6248916480945,-46.7396503471979,5,kilometer,498.0,"10270,45",20.0,29.0,21.0,15.0,85.0,chacara
455466,2022,-23.6256761633508,-46.7397107113587,5,kilometer,625.0,"15901,01",63.0,64.0,36.0,28.0,191.0,chacara
455467,2022,-23.6272428022139,-46.7297293338476,5,kilometer,271.0,"8711,97",12.0,13.0,3.0,8.0,36.0,chacara
455468,2022,-23.6277232941092,-46.7292809242086,5,kilometer,478.0,"13528,92",13.0,10.0,10.0,8.0,41.0,chacara
455469,2022,-23.6305809695388,-46.7326941542749,5,kilometer,396.0,"20121,52",22.0,29.0,18.0,22.0,91.0,chacara
455470,2022,-23.6276353874481,-46.7333418216675,5,kilometer,164.0,"11973,68",6.0,4.0,10.0,8.0,28.0,chacara
455471,2022,-23.6303339479874,-46.73125325586,5,kilometer,262.0,"12349,21",7.0,11.0,13.0,11.0,42.0,chacara
455472,2022,-23.6315931534026,-46.729544825775,5,kilometer,491.0,"34358,72",24.0,59.0,63.0,33.0,179.0,chacara
455473,2022,-23.6307853330525,-46.7318042523652,5,kilometer,284.0,"20914,69",7.0,16.0,18.0,13.0,54.0,chacara
455474,2022,-23.628200374536,-46.73006873479991,5,kilometer,393.0,"15250,41",11.0,12.0,12.0,19.0,54.0,chacara
455475,2022,-23.6288625820057,-46.729570225308,5,kilometer,356.0,"10683,49",13.0,16.0,4.0,6.0,39.0,chacara
455476,2022,-23.6195960519686,-46.7324097093277,5,kilometer,347.0,"11054,95",12.0,10.0,16.0,16.0,54.0,chacara
455477,2022,-23.6201628614552,-46.731556349346896,5,kilometer,730.0,"8612,12",46.0,57.0,44.0,40.0,187.0,chacara
455478,2022,-23.6204715125547,-46.7308971292937,5,kilometer,774.0,"8201,51",67.0,71.0,39.0,50.0,227.0,chacara
455479,2022,-23.6212432758277,-46.7314318940832,5,kilometer,733.0,"9047,54",53.0,53.0,40.0,36.0,182.0,chacara
455480,2022,-23.6208077765738,-46.7318572567062,5,kilometer,756.0,"8152,03",56.0,51.0,47.0,47.0,201.0,chacara
455481,2022,-23.6224243338043,-46.7327381399953,5,kilometer,341.0,"8309,22",5.0,8.0,8.0,10.0,31.0,chacara
455482,2022,-23.6237492340787,-46.7321381305226,5,kilometer,158.0,"8499,44",3.0,,,3.0,6.0,chacara
455483,2022,-23.624197574069,-46.7315301405317,5,kilometer,323.0,"15309,01",15.0,16.0,16.0,7.0,54.0,chacara
455484,2022,-23.6369069909284,-46.7354015632878,5,kilometer,410.0,"13360,06",8.0,16.0,13.0,18.0,55.0,chacara
455485,2022,-23.6355569609847,-46.7337019805817,5,kilometer,235.0,"16471,2",18.0,11.0,11.0,12.0,52.0,chacara
455486,2022,-23.6329840604765,-46.726761749588,5,kilometer,399.0,"34812,5",22.0,18.0,42.0,33.0,115.0,chacara
455487,2022,-23.6342294650082,-46.7250686178666,5,kilometer,293.0,"24477,72",6.0,8.0,,3.0,17.0,chacara
455488,2022,-23.6286060822561,-46.7203952552522,5,kilometer,702.0,"23338,27",37.0,34.0,41.0,30.0,142.0,chacara
455489,2022,-23.6275184240447,-46.7198009858871,5,kilometer,324.0,"20722,13",33.0,23.0,15.0,13.0,84.0,chacara
455490,2022,-23.6278687271719,-46.7186737088922,5,kilometer,296.0,"12973,61",8.0,6.0,,7.0,21.0,chacara
455491,2022,-23.6184044053597,-46.742666951793,5,kilometer,272.0,"21264,65",11.0,8.0,22.0,18.0,59.0,chacara
455492,2022,-23.6162628519897,-46.7423103340994,5,kilometer,434.0,"17110,69",32.0,27.0,17.0,16.0,92.0,chacara
455493,2022,-23.6159694243282,-46.7403272814858,5,kilometer,191.0,"9391,14",4.0,9.0,11.0,9.0,33.0,chacara
455494,2022,-23.6190196520637,-46.7401599582514,5,kilometer,316.0,"12908,57",11.0,7.0,9.0,9.0,36.0,chacara
455495,2022,-23.6276995996886,-46.7402559401344,5,kilometer,690.0,"16382,16",28.0,58.0,62.0,62.0,210.0,chacara
455496,2022,-23.6283033644427,-46.7423993047898,5,kilometer,472.0,"19142,86",30.0,48.0,61.0,33.0,172.0,chacara
455498,2022,-23.6274779105843,-46.7384725689133,5,kilometer,237.0,"23394,42",18.0,16.0,14.0,17.0,65.0,chacara
455499,2022,-23.6299519485946,-46.7419804436389,5,kilometer,144.0,"8418,33",5.0,4.0,,6.0,15.0,chacara
455500,2022,-23.6299970611329,-46.7424164990086,5,kilometer,444.0,"11708,25",43.0,26.0,12.0,13.0,94.0,chacara
455501,2022,-23.6295322280209,-46.743169914070094,5,kilometer,418.0,"11454,63",38.0,17.0,18.0,13.0,86.0,chacara
455502,2022,-23.6313343642712,-46.7415448073246,5,kilometer,89.0,15125,10.0,5.0,7.0,3.0,25.0,chacara
455503,2022,-23.6397195092354,-46.7354246500574,5,kilometer,626.0,"14482,3",39.0,56.0,43.0,40.0,178.0,chacara
455504,2022,-23.6403011265422,-46.7347556704217,5,kilometer,613.0,"15081,76",60.0,42.0,38.0,31.0,171.0,chacara
455506,2022,-23.6409957506307,-46.7304017474874,5,kilometer,867.0,"2349,29",44.0,54.0,56.0,77.0,231.0,chacara
455507,2022,-23.6433722204999,-46.728231840959,5,kilometer,188.0,"2096,25",13.0,7.0,7.0,16.0,43.0,chacara
455508,2022,-23.621554847999,-46.7429294086371,5,kilometer,684.0,"15819,69",56.0,47.0,53.0,38.0,194.0,chacara
455509,2022,-23.6248663403162,-46.7416951430668,5,kilometer,588.0,"8317,47",43.0,27.0,18.0,18.0,106.0,chacara
455510,2022,-23.6251780133975,-46.7424924668989,5,kilometer,600.0,"10347,88",41.0,35.0,22.0,23.0,121.0,chacara
455511,2022,-23.6193296469733,-46.7436652397806,5,kilometer,622.0,"9384,08",44.0,32.0,30.0,24.0,130.0,chacara
455512,2022,-23.619704518394,-46.7447418346044,5,kilometer,729.0,"9008,13",57.0,31.0,35.0,30.0,153.0,chacara
455513,2022,-23.6240113446227,-46.7431888317596,5,kilometer,404.0,"12538,19",22.0,23.0,18.0,8.0,71.0,chacara
455514,2022,-23.6230425467285,-46.7416212838165,5,kilometer,432.0,"10895,6",24.0,23.0,18.0,18.0,83.0,chacara
455515,2022,-23.6231115919158,-46.7433159859002,5,kilometer,737.0,"14016,77",75.0,57.0,43.0,30.0,205.0,chacara
455516,2022,-23.6227829126409,-46.7434845074956,5,kilometer,294.0,"14444,56",30.0,28.0,19.0,17.0,94.0,chacara
455517,2022,-23.6264858534304,-46.74412174341089,5,kilometer,798.0,"9082,44",65.0,48.0,48.0,36.0,197.0,chacara
455518,2022,-23.6252493595885,-46.7432187857896,5,kilometer,516.0,"8718,69",32.0,23.0,27.0,13.0,95.0,chacara
455519,2022,-23.6245470571783,-46.743839727802,5,kilometer,386.0,"8523,5",18.0,22.0,14.0,12.0,66.0,chacara
455520,2022,-23.6238020351398,-46.7452896672739,5,kilometer,298.0,"8761,01",32.0,12.0,8.0,11.0,63.0,chacara
455521,2022,-23.6222161906348,-46.7446988834948,5,kilometer,543.0,"9108,87",24.0,37.0,27.0,28.0,116.0,chacara
455522,2022,-23.622613850304,-46.7457668195355,5,kilometer,679.0,"7614,97",41.0,39.0,36.0,36.0,152.0,chacara
455523,2022,-23.6237119601017,-46.7201777285303,5,kilometer,705.0,"17047,4",41.0,59.0,57.0,54.0,211.0,chacara
