id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,unidade
441484,2022,"-23.612.312.669.578.700,00","-4.669.157.403.085.290,00",5,kilometer,427.0,"R$ 23.652,20",32.0,46.0,33.0,21.0,,morumbi
441534,2022,"-23.620.191.322.105.500,00","-46.697.363.530.025.600,00",5,kilometer,126.0,"R$ 23.545,92",,,,,,morumbi
447301,2022,"-235.910.377.891.918,00","-4.670.461.074.075.400,00",5,kilometer,164.0,"R$ 23.500,09",,6.0,6.0,23.0,,morumbi
452150,2022,"-23.634.216.648.988.200,00","-4.670.862.355.720.760,00",5,kilometer,792.0,"R$ 23.468,64",37.0,53.0,50.0,49.0,,morumbi
455498,2022,"-2.362.747.791.058.430,00","-467.384.725.689.133,00",5,kilometer,237.0,"R$ 23.394,42",18.0,16.0,14.0,17.0,,morumbi
455488,2022,"-23.628.606.082.256.100,00","-46.720.395.255.252.200,00",5,kilometer,702.0,"R$ 23.338,27",37.0,34.0,41.0,30.0,,morumbi
455621,2022,"-2.363.241.172.991.040,00","-4.672.347.687.890.760,00",5,kilometer,209.0,"R$ 23.306,02",10.0,9.0,25.0,24.0,,morumbi
447283,2022,"-2.359.612.698.133.560,00","-46.701.992.728.059.300,00",5,kilometer,174.0,"R$ 23.186,05",4.0,,7.0,10.0,,morumbi
455410,2022,"-2.362.786.174.756.440,00","-4.671.865.219.473.620,00",5,kilometer,319.0,"R$ 23.164,63",13.0,15.0,11.0,21.0,,morumbi
447172,2022,"-23.590.190.443.038.900,00","-46.707.385.452.496.200,00",5,kilometer,250.0,"R$ 22.974,36",4.0,3.0,6.0,10.0,,morumbi
441452,2022,"-23.610.717.546.033.400,00","-46.690.368.565.293.800,00",5,kilometer,173.0,"R$ 22.767,22",13.0,11.0,4.0,9.0,,morumbi
455409,2022,"-2.362.918.313.161.250,00","-4.671.980.599.004.780,00",5,kilometer,197.0,"R$ 22.717,19",12.0,12.0,14.0,16.0,,morumbi
447308,2022,"-23.605.952.921.850.900,00","-4.670.060.168.876.250,00",5,kilometer,635.0,"R$ 22.632,68",14.0,40.0,52.0,41.0,,morumbi
447256,2022,"-23.605.057.793.703.700,00","-46.701.290.133.734.200,00",5,kilometer,218.0,"R$ 22.498,46",13.0,11.0,7.0,3.0,,morumbi
452324,2022,"-23.632.024.898.881.800,00","-4.669.516.315.469.620,00",5,kilometer,505.0,"R$ 22.390,84",53.0,26.0,16.0,17.0,,morumbi
447201,2022,"-23.612.485.922.310.200,00","-4.670.873.117.181.210,00",5,kilometer,225.0,"R$ 22.290,00",6.0,14.0,9.0,13.0,,morumbi
447174,2022,"-2.358.460.251.377.710,00","-4.671.190.550.259.980,00",5,kilometer,183.0,"R$ 22.270,51",5.0,6.0,,4.0,,morumbi
452204,2022,"-23.626.076.027.904.400,00","-46.706.706.327.276.800,00",5,kilometer,630.0,"R$ 22.089,24",50.0,64.0,44.0,27.0,,morumbi
452345,2022,"-23.634.160.853.144.300,00","-4.670.925.978.656.000,00",5,kilometer,325.0,"R$ 21.926,67",28.0,29.0,18.0,10.0,,morumbi
441611,2022,"-23.604.150.048.832.300,00","-46.694.982.793.900.300,00",5,kilometer,212.0,"R$ 21.910,98",16.0,5.0,4.0,4.0,,morumbi
441617,2022,"-23.611.099.286.361.600,00","-4.668.973.269.995.050,00",5,kilometer,159.0,"R$ 21.589,36",7.0,13.0,7.0,5.0,,morumbi
447278,2022,"-23.585.780.169.532.900,00","-4.670.063.745.856.580,00",5,kilometer,152.0,"R$ 21.536,71",5.0,3.0,5.0,6.0,,morumbi
452205,2022,"-23.635.503.808.688.600,00","-46.715.744.926.650.000,00",5,kilometer,562.0,"R$ 21.530,96",40.0,58.0,35.0,26.0,,morumbi
447177,2022,"-2.359.301.769.495.650,00","-4.669.874.504.210.950,00",5,kilometer,198.0,"R$ 21.515,09",7.0,9.0,11.0,11.0,,morumbi
458271,2022,"-235.997.910.813.481,00","-46.725.565.392.719.800,00",5,kilometer,312.0,"R$ 21.510,60",12.0,26.0,27.0,13.0,,morumbi
447221,2022,"-23.612.247.540.439.300,00","-467.116.412.339.478,00",5,kilometer,219.0,"R$ 21.499,24",4.0,15.0,18.0,6.0,,morumbi
458312,2022,"-23.588.929.598.668.200,00","-4.674.100.028.902.410,00",5,kilometer,766.0,"R$ 21.492,27",36.0,65.0,74.0,62.0,,morumbi
447272,2022,"-2.358.496.395.705.090,00","-4.670.808.253.300.540,00",5,kilometer,191.0,"R$ 21.397,63",6.0,13.0,10.0,6.0,,morumbi
