CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,distancia_mediana_km,pontos,score_trafego_2025
05754-050,Umarizal,8065.7,39.0,382.0,1.86,1,314562.3
04704-080,Jardim das Acácias,10778.06,29.0,383.0,4.98,1,312563.62
05725-030,Vila Andrade,14189.86,22.0,316.0,0.93,1,312176.84
05590-120,Vila Gomes,8909.05,35.0,417.0,4.54,3,311816.62
05836-220,Jardim Monte Azul,7065.74,44.0,601.0,3.09,1,310892.37
05780-320,Vila Prel,5138.36,60.0,694.0,3.63,1,308301.84
05537-120,Jardim Peri Peri,9016.37,34.0,414.0,3.54,1,306556.54
05729-090,Vila Andrade,10568.17,29.0,265.0,1.93,5,306476.91
05735-050,Parque Reboucas,2655.33,115.0,760.0,1.56,3,305363.35
05616-011,Vila Progredior,19067.25,16.0,237.0,3.39,3,305075.97
05724-902,Vila Andrade,9531.41,32.0,377.0,2.45,5,305005.01
05661-060,Paraisópolis,1892.44,161.0,1188.0,1.23,1,304683.55
05776-500,Vila Franca,3347.8,91.0,844.0,2.64,1,304650.0
05763-310,Jardim Piracuama,1852.31,164.0,1117.0,4.0,1,303778.54
04561-050,Brooklin Paulista,15161.23,20.0,291.5,5.06,2,303224.69
05686-030,Real Parque,2423.74,125.0,814.0,3.84,3,302968.05
05638-010,Jardim Londrina,9460.52,32.0,420.0,1.4,1,302736.77
05692-050,Vila Tramontano,17738.22,17.0,221.0,3.45,1,301549.81
04582-020,Vila Cordeiro,11166.46,27.0,249.0,5.16,1,301494.4
05783-180,Jardim Umuarama,5511.46,54.5,557.0,4.23,2,300374.77
05713-460,Jardim Ampliação,13639.53,22.0,332.0,0.99,2,300069.61
05513-300,Butantã,14972.68,20.0,436.0,3.65,1,299453.62
05757-150,Jardim Ana Maria,7107.0,42.0,385.0,2.2,1,298494.16
05749-330,Jardim das Palmas,3658.8,81.5,631.5,0.86,2,298191.99
05752-590,Jardim Maria Duarte,5960.52,50.0,367.0,1.75,1,298025.8
05543-120,Vila Albano,1920.86,155.0,865.0,3.23,1,297732.9
05595-010,Jardim Bonfiglioli,4615.37,64.5,570.0,3.8,2,297691.27
04583-115,Vila Cordeiro,10189.91,29.0,407.0,4.2,1,295507.29
05514-030,Instituto de Previdência,10016.21,29.5,391.0,4.82,2,295478.08
05754-040,Umarizal,6153.09,48.0,435.0,1.86,1,295348.28
05535-040,Jardim Peri Peri,8934.93,33.0,321.0,3.76,1,294852.69
04726-170,Vila Cruzeiro,8415.7,35.0,508.0,3.09,1,294549.49
05642-020,Vila Suzana,15092.99,19.5,254.5,0.76,2,294313.33
05750-230,Super Quadra Morumbi,12753.97,23.0,293.0,0.49,1,293341.36
05777-970,Vila Prel,7710.58,38.0,596.0,4.16,1,293002.18
05766-310,Jardim Olinda,2839.09,103.0,800.0,2.46,1,292426.68
05634-060,Jardim Monte Kemel,13588.9,21.5,241.5,1.55,2,292161.32
05678-070,Jardim Sílvia (Zona Oeste),18254.45,16.0,186.0,3.92,1,292071.23
05728-030,Vila Andrade,9723.17,30.0,249.0,1.6,3,291695.13
04753-001,Santo Amaro,4779.37,61.0,826.0,4.53,1,291541.38
05622-050,Jardim Leonor,13873.5,21.0,240.0,1.81,1,291343.54
05713-500,Jardim Ampliação,13206.03,22.0,321.0,1.02,1,290532.6
