CEP,Bairro,renda_mediana_2025,mediana_criancas_0_18,populacao_mediana,distancia_mediana_km,mediana_0_4,mediana_5_9,mediana_10_14,mediana_15_19,pontos,score_trafego_2025
05685-040,Real Parque,8889.05,126.5,464.0,3.06,26.5,21.5,35.5,43.0,2,1124464.51
04738-900,Santo Amaro,18412.34,61.0,370.0,1.54,19.0,8.0,13.0,21.0,1,1123152.75
04563-020,Cidade Monções,19207.47,58.0,407.0,3.98,21.0,12.0,14.0,11.0,1,1114032.98
05685-901,Real Parque,24367.55,45.5,225.5,3.09,7.5,7.0,11.5,19.5,2,1108723.48
05835-003,Vila das Belezas,5853.14,189.0,937.0,3.58,34.0,46.0,55.0,54.0,1,1106242.66
05684-060,Real Parque,17260.19,64.0,528.0,2.76,15.0,17.0,21.0,11.0,1,1104652.35
04721-020,Granja Julieta,19695.05,56.0,294.0,1.29,11.0,13.0,12.0,20.0,1,1102922.71
04704-030,Jardim das Acácias,39163.3,28.0,319.0,2.69,5.0,10.0,7.0,6.0,1,1096572.43
05613-050,Morumbi,21489.04,51.0,264.0,4.57,5.0,18.0,12.0,16.0,1,1095941.07
04746-090,Santo Amaro,13663.93,80.0,426.0,3.06,29.0,16.0,19.0,16.0,1,1093114.18
04734-001,Santo Amaro,12960.71,84.0,419.0,1.89,16.5,21.5,26.0,20.0,2,1088699.26
04703-002,Santo Amaro,20095.65,54.0,257.0,2.84,15.0,17.0,13.0,9.0,1,1085165.03
05630-902,Vila Suzana,18390.22,59.0,353.0,3.18,15.0,11.0,14.0,19.0,1,1085023.09
05763-907,Chácara Nossa Senhora do Bom Conselho,6389.74,169.0,721.0,4.6,25.0,37.0,50.0,57.0,1,1079865.59
05614-070,Jardim Leonor,22488.2,48.0,287.0,4.15,6.0,15.0,15.0,12.0,1,1079433.43
04740-020,Santo Amaro,17116.15,63.0,384.0,2.56,8.0,9.0,19.0,27.0,1,1078317.63
04747-090,Santo Amaro,11902.09,90.0,385.0,3.05,18.5,20.5,28.0,23.0,2,1071188.12
04725-000,Vila Elvira,11151.52,96.0,568.0,1.37,28.0,32.0,17.0,19.0,1,1070546.4
04618-003,Campo Belo,18256.24,58.5,304.0,4.2,13.0,16.5,13.0,16.0,2,1067989.81
05688-050,Vila Morumbi,24831.62,43.0,219.0,2.39,4.0,15.0,18.0,6.0,1,1067759.75
04562-000,Brooklin Paulista,20903.71,51.0,318.0,3.95,15.5,14.0,9.5,13.5,5,1066089.2
05623-010,Vila Morse,18373.5,58.0,313.0,4.2,9.0,11.5,14.5,23.0,2,1065662.85
05684-000,Real Parque,22659.84,47.0,279.0,3.17,5.0,9.0,18.0,15.0,2,1065012.26
05835-002,Vila das Belezas,7152.41,148.5,585.0,3.8,31.0,42.0,34.5,41.0,2,1062132.41
04581-050,Vila Cordeiro,27207.47,39.0,278.0,3.18,10.0,6.0,14.0,9.0,1,1061091.28
05726-110,Vila Andrade,12584.42,83.0,432.0,3.12,24.0,23.0,18.0,18.0,1,1044506.69
05763-906,Chácara Nossa Senhora do Bom Conselho,7145.82,146.0,681.0,4.49,30.0,36.0,43.0,37.0,1,1043290.2
05639-090,Lar São Paulo,15111.41,69.0,362.0,3.58,22.0,23.0,12.0,12.0,1,1042687.14
05687-001,Real Parque,23683.63,44.0,315.0,2.54,9.0,12.0,9.0,14.0,1,1042079.85
05717-190,Vila Andrade,20588.33,50.5,304.0,2.04,14.5,11.5,10.5,14.0,2,1039710.73
05713-430,Jardim Ampliação,47180.82,22.0,179.5,2.17,4.5,8.0,12.0,7.5,2,1037978.04
05716-080,Vila Andrade,18278.15,56.5,307.0,2.22,12.0,11.0,23.0,10.5,2,1032715.6
04764-090,Socorro,9154.17,112.0,583.0,4.46,37.0,26.0,25.0,24.0,1,1025267.26
05713-570,Jardim Ampliação,16523.29,62.0,288.0,1.92,14.5,16.0,16.5,15.0,2,1024443.71
04717-000,Chácara Santo Antônio (Zona Sul),12023.82,85.0,571.0,1.69,20.0,12.0,17.0,36.0,1,1022024.33
05685-060,Real Parque,11702.52,87.0,493.0,2.93,11.0,28.0,30.0,18.0,1,1018119.04
05628-010,Jardim Colombo,10255.48,99.0,469.0,4.19,16.0,26.0,26.0,22.0,3,1015292.12
04753-100,Jardim Promissão,9314.39,109.0,724.0,2.63,18.0,33.0,29.0,29.0,1,1015268.9
04601-041,Campo Belo,18073.26,56.0,366.0,4.18,8.0,17.0,18.0,13.0,1,1012102.29
04363-001,Vila Mascote,19790.19,51.0,236.0,4.52,13.5,13.0,16.0,14.0,5,1009299.48
05711-001,Jardim Caboré,12730.75,79.0,367.0,3.81,24.0,28.0,16.5,18.5,6,1005729.31
04902-000,Parque Alves de Lima,9952.03,101.0,451.0,4.35,16.5,23.0,31.5,30.0,2,1005154.89
04611-002,Campo Belo,17589.38,57.0,400.0,4.35,14.0,12.0,14.0,17.0,1,1002594.63
04562-906,Brooklin Paulista,26940.89,37.0,234.0,3.89,8.0,8.0,16.0,5.0,1,996813.11
04721-050,Granja Julieta,15250.94,65.0,362.0,1.59,19.0,13.0,14.0,19.0,1,991311.32
04717-004,Chácara Santo Antônio (Zona Sul),15226.65,65.0,439.0,0.83,16.0,16.0,18.0,15.0,1,989732.49
04674-070,Jardim Itapeva,19345.44,51.0,206.0,4.51,5.0,10.0,18.0,18.0,1,986617.52
04381-000,Jardim Prudência,14920.39,66.0,479.0,4.69,21.0,14.0,13.0,18.0,1,984746.0
05750-110,Super Quadra Morumbi,7163.29,137.0,680.0,3.94,41.0,38.0,26.0,32.0,1,981370.31
04716-090,Chácara Santo Antônio (Zona Sul),19220.76,51.0,291.0,0.63,9.0,11.0,19.0,12.0,1,980258.72
04618-030,Campo Belo,22494.9,43.5,209.5,3.77,13.0,12.0,29.0,10.5,2,978527.95
04621-003,Brooklin Paulista,12937.21,75.5,381.0,3.53,17.5,17.0,19.0,22.0,2,976759.56
04663-901,Jardim Marajoara,10948.83,89.0,447.0,4.16,12.0,17.0,32.0,28.0,1,974446.23
05717-270,Vila Andrade,15458.43,63.0,357.0,2.29,14.0,16.0,13.0,19.0,5,973880.94
04565-902,Cidade Monções,26296.14,37.0,173.0,3.46,13.0,11.0,4.0,9.0,1,972957.15
04739-050,Santo Amaro,12790.18,76.0,488.0,1.78,27.0,26.0,14.0,9.0,1,972053.78
05684-030,Real Parque,17354.91,56.0,324.0,2.82,7.0,29.0,13.5,6.5,2,971874.89
05625-900,Vila Sônia,10793.75,90.0,486.0,4.15,15.0,20.0,22.0,33.0,1,971437.7
04664-020,Jardim Marajoara,14651.95,66.0,257.0,4.13,12.0,16.0,17.0,17.0,3,967028.62
04717-001,Chácara Santo Antônio (Zona Sul),12849.42,75.0,324.0,1.38,13.5,16.5,19.0,26.0,2,963706.59
05661-070,Paraisópolis,1951.44,491.5,1406.0,2.73,116.5,128.5,130.0,116.5,2,959130.81
04710-110,Santo Amaro,16800.72,57.0,269.0,1.99,16.0,18.0,17.0,6.0,1,957641.18
05705-150,Paraíso do Morumbi,21222.4,45.0,340.0,1.15,7.0,11.0,15.0,12.0,1,955007.88
05625-001,Vila Sônia,10961.32,87.0,429.0,3.98,24.0,22.0,21.0,20.0,1,953634.81
05638-030,Jardim Londrina,13910.43,68.5,319.0,3.68,17.0,22.0,18.5,11.0,2,952864.27
05713-410,Jardim Ampliação,17614.22,54.0,393.0,1.82,11.0,12.0,12.0,19.0,1,951168.07
05605-000,Jardim Guedala,27142.6,35.0,164.0,4.82,,6.0,6.0,23.0,1,949991.14
04610-003,Parque Colonial,16653.57,57.0,322.0,4.47,16.0,15.5,13.5,12.0,2,949253.47
04739-060,Santo Amaro,12285.07,77.0,404.0,2.53,21.0,25.0,14.0,17.0,1,945950.01
05729-120,Vila Andrade,10743.24,88.0,541.0,2.49,27.0,26.0,14.0,21.0,1,945405.48
05674-020,Cidade Jardim,24849.93,38.0,198.0,4.76,7.0,9.0,11.0,11.0,1,944297.3
05707-000,Parque do Morumbi,21933.32,43.0,188.0,1.77,9.5,12.0,7.0,14.0,5,943132.89
04650-000,Jardim Umuarama,11084.4,85.0,414.0,4.3,29.0,27.0,17.0,12.0,1,942173.69
04646-020,Chácara Monte Alegre,12167.38,77.0,488.0,3.8,13.0,19.0,22.0,23.0,1,936888.43
04561-000,Brooklin Paulista,20748.52,45.0,370.0,4.06,11.0,10.0,11.5,6.0,3,933683.58
04739-001,Santo Amaro,18939.45,49.0,341.0,2.5,7.0,9.0,17.0,16.0,1,928032.93
04623-050,Brooklin Paulista,13240.1,70.0,434.0,3.84,7.0,18.0,26.0,19.0,1,926807.0
05630-090,Vila Suzana,14947.16,62.0,316.5,3.42,10.0,13.5,17.0,21.5,2,926723.63
05745-250,Residencial Morumbi,19271.61,48.0,250.0,4.65,5.0,9.0,11.0,23.0,1,925037.47
05715-030,Vila Andrade,19209.9,48.0,273.0,1.89,7.0,13.5,15.5,12.0,2,922075.31
04619-030,Campo Belo,15757.69,58.0,306.0,3.86,13.0,15.0,17.0,13.0,1,913945.91
04675-010,Jardim Taquaral,7363.24,124.0,527.0,4.29,23.0,30.0,36.0,26.0,3,913041.82
05844-040,Jardim São Luís,5496.03,166.0,634.0,3.89,29.0,33.0,48.0,56.0,1,912341.45
04746-110,Santo Amaro,10242.64,89.0,469.5,3.1,25.5,20.5,23.5,19.5,2,911594.8
04674-904,Jardim Itapeva,9782.88,93.0,586.0,4.25,15.0,21.0,30.0,27.0,1,909808.27
05625-100,Jardim Colombo,10087.77,90.0,445.0,3.94,26.0,17.0,24.0,23.0,1,907899.3
04362-030,Vila Mascote,14480.58,62.5,347.5,4.57,12.0,15.5,20.5,14.5,2,905035.98
05688-021,Vila Morumbi,24450.79,37.0,245.0,2.49,4.5,11.0,8.0,13.5,2,904679.22
04689-160,Vila Isa,10614.68,85.0,362.0,4.61,21.0,25.0,26.0,13.0,1,902247.88
04725-010,Vila Elvira,14209.09,63.0,345.0,1.28,15.0,18.0,15.0,15.0,1,895172.49
04618-035,Campo Belo,18079.67,49.5,350.5,4.31,15.0,11.0,10.5,13.0,2,894943.44
04671-902,Vila Sofia,8568.97,104.0,528.0,3.66,19.0,26.0,30.0,29.0,1,891172.68
04704-000,Jardim das Acácias,17751.95,50.0,327.0,2.8,26.0,13.0,7.0,4.0,1,887597.29
04671-300,Parque Residencial Julia,11499.73,77.0,371.0,3.77,13.0,24.5,20.5,20.5,4,885479.55
04602-906,Brooklin Paulista,14513.05,61.0,310.0,3.13,9.0,11.0,22.0,19.0,1,885295.96
05684-011,Real Parque,25985.72,34.0,414.0,3.34,13.5,11.0,29.5,22.0,3,883514.52
04570-900,Brooklin Paulista,20047.37,44.0,299.0,3.55,10.0,13.0,12.0,9.0,1,882084.26
05678-020,Cidade Jardim,30305.03,29.0,200.0,4.51,8.0,6.0,4.0,11.0,1,878845.83
04648-140,Jardim Prudência,9238.2,95.0,477.0,4.69,22.0,19.0,33.0,21.0,1,877628.83
04582-000,Vila Cordeiro,14779.21,59.0,408.0,2.96,22.0,16.5,10.5,10.0,2,871973.54
04615-002,Campo Belo,17029.39,51.0,296.0,4.54,11.0,10.0,12.0,18.0,1,868498.85
05716-110,Vila Andrade,16619.6,52.0,560.0,2.22,6.0,19.0,10.0,17.0,1,864218.96
04578-000,Brooklin Paulista,21829.95,39.5,270.0,3.66,22.0,10.0,10.0,8.0,4,862283.04
05620-010,Vila Inah,15127.22,57.0,425.0,4.56,8.0,13.0,16.0,20.0,1,862251.53
04736-002,Santo Amaro,10870.24,79.0,393.0,2.07,16.0,19.5,21.5,22.0,2,858748.67
05734-110,Vila Andrade,6801.11,126.0,557.5,3.4,32.0,34.5,28.5,31.0,2,856939.58
