id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,unidade,CEP,Logradouro,Bairro,Cidade,UF,renda_sm,cluster
432033,2022,-23.6428856824916,-46.6706187192908,5,kilometer,226.0,127363.0,15.0,8.0,3.0,4.0,30.0,chacara,04635-041,R  Maratona,Vila Alexandria,São Paulo,SP,9.229202898550724,2
432034,2022,-23.6425346509712,-46.6692507375048,5,kilometer,162.0,1042058.0,6.0,6.0,10.0,6.0,28.0,chacara,04635-030,R  Epiro,Vila Alexandria,São Paulo,SP,7.551144927536232,1
432035,2022,-23.6115586171343,-46.6770762052944,5,kilometer,172.0,1284568.0,4.0,6.0,5.0,3.0,18.0,chacara,04559-010,R  Georgia,Brooklin Paulista,São Paulo,SP,9.308463768115942,1
432036,2022,-23.6215832415727,-46.6768034770054,5,kilometer,635.0,2006309.0,31.0,59.0,61.0,47.0,198.0,chacara,04618-032,R  Edson,Campo Belo,São Paulo,SP,14.538471014492753,3
432037,2022,-23.6207907683237,-46.6760781666172,5,kilometer,282.0,1265612.0,15.0,5.0,10.0,16.0,46.0,chacara,04618-032,R  Edson,Campo Belo,São Paulo,SP,9.171101449275364,1
432038,2022,-23.6200018356597,-46.6753427544911,5,kilometer,210.0,1577241.0,11.0,6.0,6.0,9.0,32.0,chacara,04606-003,R Br De Jaceguai,Campo Belo,São Paulo,SP,11.429282608695653,1
432039,2022,-23.6214207999401,-46.6735762903864,5,kilometer,234.0,1228813.0,8.0,5.0,5.0,12.0,30.0,chacara,04618-910,R  Joao De Sousa Dias,Campo Belo,São Paulo,SP,8.904442028985507,1
432040,2022,-23.6211342891995,-46.6736886129903,5,kilometer,158.0,843279.0,0.0,,,0.0,0.0,chacara,04607-901,R  Antonio De Macedo Soares,Campo Belo,São Paulo,SP,6.110717391304348,2
432041,2022,-23.6183529495485,-46.6791182196447,5,kilometer,313.0,3089482.0,8.0,11.0,14.0,19.0,52.0,chacara,04618-031,R  Edson,Campo Belo,São Paulo,SP,22.38755072463768,3
432042,2022,-23.6183214190444,-46.6804654959921,5,kilometer,266.0,2722056.0,13.0,17.0,29.0,15.0,74.0,chacara,04618-030,R  Edson,Campo Belo,São Paulo,SP,19.725043478260872,3
